,title,type,release_year,runtime,production_countries,imdb_score,imdb_votes
90,A Stoning in Fulham County,MOVIE,1988,120,['US'],5.8,380.0
93,Muqaddar Ka Faisla,MOVIE,1987,172,['IN'],4.8,68.0
94,Sohni Mahiwal,MOVIE,1984,160,['IN'],6.1,297.0
95,The Little Wars,MOVIE,1982,108,"['FR', 'LB']",6.3,149.0
97,Duniya,MOVIE,1984,170,['IN'],6.2,241.0
98,High Risk,SHOW,1988,50,['US'],3.8,6.0
99,Pyar Ke Do Pal,MOVIE,1986,153,['IN'],6.1,65.0
100,Jaal,MOVIE,1986,159,['IN'],5.2,122.0
101,Mujrim,MOVIE,1989,162,['IN'],5.4,188.0
102,An Egyptian Story,MOVIE,1982,129,['EG'],7.3,1113.0
103,Ek Jaan Hain Hum,MOVIE,1983,151,['IN'],6.3,70.0
104,The Quick and the Dead,MOVIE,1995,107,"['US', 'JP']",6.5,92224.0
105,Survivor,SHOW,2000,48,['US'],7.4,24368.0
106,Stargate SG-1,SHOW,1997,44,"['US', 'CA']",8.4,90196.0
107,Pokémon,SHOW,1997,22,['JP'],7.6,172.0
108,Forrest Gump,MOVIE,1994,142,['US'],8.8,1994599.0
109,Happy Gilmore,MOVIE,1996,92,['US'],7.0,217534.0
110,One Piece,SHOW,1999,23,['JP'],8.8,112586.0
111,Saving Private Ryan,MOVIE,1998,169,['US'],8.6,1346020.0
112,Cowboy Bebop,SHOW,1998,25,['JP'],8.9,112887.0
113,Star Trek: Deep Space Nine,SHOW,1993,47,['US'],8.1,61145.0
114,The Challenge,SHOW,1998,40,['US'],7.8,3274.0
115,Gattaca,MOVIE,1997,106,['US'],7.8,298168.0
116,Gilmore Girls,SHOW,2000,46,['US'],8.2,119054.0
117,Blade,MOVIE,1998,120,['US'],7.1,267181.0
118,You've Got Mail,MOVIE,1998,119,['US'],6.7,209258.0
119,Starship Troopers,MOVIE,1997,129,['US'],7.3,288960.0
120,Neon Genesis Evangelion,SHOW,1995,24,['JP'],8.5,64727.0
121,The Magic School Bus,SHOW,1994,26,"['US', 'CA']",7.8,9708.0
122,Donnie Brasco,MOVIE,1997,127,['US'],7.7,300073.0
123,Power Rangers,SHOW,1993,22,['US'],6.5,21949.0
124,U.S. Marshals,MOVIE,1998,126,['US'],6.5,103263.0
125,Adventures of Sonic the Hedgehog,SHOW,1993,22,['US'],6.2,3808.0
126,Wild Things,MOVIE,1998,108,['US'],6.6,118811.0
127,Last Action Hero,MOVIE,1993,130,['US'],6.4,149290.0
128,Seven Years in Tibet,MOVIE,1997,136,['US'],7.1,141308.0
129,The Devil's Advocate,MOVIE,1997,144,"['DE', 'US']",7.5,361422.0
130,A River Runs Through It,MOVIE,1992,123,['US'],7.2,59086.0
131,"Girl, Interrupted",MOVIE,1999,127,"['US', 'DE']",7.3,180532.0
132,Goosebumps,SHOW,1995,22,"['CA', 'US']",7.6,13361.0
133,Yu-Gi-Oh!,SHOW,1998,22,['JP'],7.2,20888.0
134,InuYasha,SHOW,2000,25,['JP'],7.9,15823.0
135,Any Given Sunday,MOVIE,1999,162,['US'],6.9,118479.0
136,Menace II Society,MOVIE,1993,97,['US'],7.5,57399.0
137,Desperado,MOVIE,1995,104,['US'],7.1,183638.0
138,The Mask of Zorro,MOVIE,1998,136,['US'],6.8,181306.0
139,The Patriot,MOVIE,2000,165,"['DE', 'US']",7.2,270231.0
140,Road Trip,MOVIE,2000,93,['US'],6.5,167670.0
141,Free Willy,MOVIE,1993,112,"['US', 'FR']",6.0,75244.0
143,3 Ninjas Kick Back,MOVIE,1994,93,"['US', 'JP']",4.5,9208.0
144,In the Line of Fire,MOVIE,1993,128,['US'],7.2,101939.0
145,The Replacements,MOVIE,2000,118,['US'],6.6,64087.0
146,Johnny Mnemonic,MOVIE,1995,97,"['US', 'CA']",5.6,71062.0
147,Little Women,MOVIE,1994,115,['US'],7.3,57621.0
148,Anaconda,MOVIE,1997,89,"['PE', 'US', 'BR']",4.8,103459.0
149,My Girl,MOVIE,1991,103,['US'],6.9,79800.0
150,Cliffhanger,MOVIE,1993,112,"['IT', 'US', 'FR']",6.5,128179.0
151,I Know What You Did Last Summer,MOVIE,1997,101,['US'],5.7,142696.0
152,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,88,"['US', 'HK']",6.0,55499.0
153,Barney & Friends,SHOW,1992,28,['US'],3.8,9955.0
154,Hollow Man,MOVIE,2000,112,"['DE', 'US']",5.8,130099.0
155,Godzilla,MOVIE,1998,133,['US'],5.4,191722.0
156,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,87,['JP'],8.0,51938.0
157,Spawn,MOVIE,1997,96,['US'],5.2,67761.0
158,Dennis the Menace,MOVIE,1993,95,['US'],5.6,60779.0
159,The Net,MOVIE,1995,114,['US'],5.9,66127.0
160,The Devil's Own,MOVIE,1997,107,['US'],6.2,64625.0
161,Croupier,MOVIE,1998,94,"['FR', 'IE', 'GB', 'DE']",7.0,21382.0
162,Teenage Mutant Ninja Turtles III,MOVIE,1993,96,"['HK', 'US']",4.7,33128.0
163,The General's Daughter,MOVIE,1999,116,"['US', 'DE']",6.4,58726.0
164,The Next Karate Kid,MOVIE,1994,107,['US'],4.5,30138.0
165,I Still Know What You Did Last Summer,MOVIE,1998,100,['US'],4.7,73269.0
166,Double Team,MOVIE,1997,93,"['US', 'HK']",4.7,34127.0
167,Under Suspicion,MOVIE,2000,110,['US'],6.5,25432.0
168,Moesha,SHOW,1996,21,['US'],5.7,3713.0
169,"Sister, Sister",SHOW,1994,22,['US'],6.2,12535.0
170,Cardcaptor Sakura,SHOW,1998,25,['JP'],8.0,4936.0
171,Geronimo: An American Legend,MOVIE,1993,115,['US'],6.5,11506.0
172,The Mirror Has Two Faces,MOVIE,1996,126,['US'],6.6,19829.0
173,Girlfriends,SHOW,2000,21,['US'],7.2,4482.0
175,Knight Rider 2000,MOVIE,1991,91,['US'],4.5,3178.0
176,The Last Days,MOVIE,1998,87,['US'],7.9,4247.0
177,The Parkers,SHOW,1999,19,['US'],6.8,2346.0
178,Heavy,MOVIE,1995,105,['US'],6.8,4921.0
179,Bill Hicks: Revelations,MOVIE,1993,74,['GB'],8.5,3085.0
180,Sankofa,MOVIE,1993,124,"['GH', 'GB', 'US', 'BF', 'DE']",7.0,678.0
182,Dale's Supermarket Sweep,SHOW,1993,21,['GB'],7.1,39.0
183,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,75,['US'],7.9,5834.0
184,Children of God,MOVIE,1994,63,['GB'],6.4,589.0
185,Wild Tango,MOVIE,1993,124,"['AR', 'ES']",6.7,1564.0
186,Kuch Kuch Hota Hai,MOVIE,1998,185,['IN'],7.6,51640.0
187,Oggy and the Cockroaches,SHOW,1999,9,['FR'],7.4,4185.0
188,H,SHOW,1998,25,['FR'],7.4,1703.0
189,Herod's Law,MOVIE,1999,120,['MX'],7.8,5943.0
190,Tim Allen: Rewires America,MOVIE,1991,30,['US'],5.9,195.0
191,Heartbreak High,SHOW,1994,47,['AU'],7.8,3106.0
192,Dil Se..,MOVIE,1998,163,['IN'],7.5,28409.0
194,Aashik Aawara,MOVIE,1993,153,['IN'],4.7,320.0
195,Destiny,MOVIE,1997,136,"['EG', 'FR']",7.1,2825.0
196,Oh Darling! Yeh Hai India!,MOVIE,1995,153,['IN'],4.0,1678.0
197,A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,100,['US'],7.2,248.0
198,Bombay,MOVIE,1995,141,['IN'],8.1,12512.0
199,West Beirut,MOVIE,1998,105,"['BE', 'FR', 'NO', 'LB']",7.6,4175.0
200,Muthu,MOVIE,1995,165,['IN'],7.6,3056.0
201,Qila,MOVIE,1998,160,['IN'],4.8,129.0
202,Ram Jaane,MOVIE,1995,172,['IN'],5.4,3901.0
203,Chamatkar,MOVIE,1992,171,['IN'],6.5,6199.0
204,Soldier,MOVIE,1998,156,['IN'],6.2,3025.0
205,Okupas,SHOW,2000,40,['AR'],9.0,2326.0
206,Hum Saath Saath Hain,MOVIE,1999,177,['IN'],6.2,8454.0
207,Kabhi Haan Kabhi Naa,MOVIE,1994,158,['IN'],7.6,18224.0
208,Nightmare in Columbia County,MOVIE,1991,100,['US'],5.5,341.0
209,Phir Bhi Dil Hai Hindustani,MOVIE,2000,160,['IN'],6.1,7556.0
211,Jeans,MOVIE,1998,175,['IN'],6.4,3567.0
212,Chaahat,MOVIE,1996,155,['IN'],5.5,2837.0
213,Hum Aapke Hain Koun..!,MOVIE,1994,206,['IN'],7.5,20986.0
214,Maya Memsaab,MOVIE,1993,126,['IN'],5.4,2177.0
