,title,type,release_year,runtime,production_countries,imdb_score,imdb_votes
1105,Dharmakshetra,SHOW,2014,44,['IN'],8.2,247.0
1106,Four Sisters and a Wedding,MOVIE,2013,126,['PH'],7.2,789.0
1107,Special 26,MOVIE,2013,144,['IN'],8.0,55489.0
1108,Once Upon a Time in Mumbai Dobaara!,MOVIE,2013,160,['IN'],4.6,7127.0
1109,Swearnet Live,MOVIE,2014,75,['CA'],5.4,519.0
1110,Jim Jefferies: Bare,MOVIE,2014,76,['US'],8.0,5407.0
1111,Dabbe 5: Zehr-i Cin,MOVIE,2014,132,['TR'],6.0,3708.0
1112,The Perfect Dictatorship,MOVIE,2014,143,['MX'],7.2,5370.0
1113,Imperial Dreams,MOVIE,2014,87,['US'],6.7,4452.0
1114,Liar's Dice,MOVIE,2013,104,['IN'],6.8,1069.0
1116,El Mago Pop,MOVIE,2013,44,['ES'],6.8,21.0
1117,Humpty Sharma Ki Dulhania,MOVIE,2014,133,['IN'],6.0,12757.0
1118,Print the Legend,MOVIE,2014,100,['US'],7.0,1967.0
1119,The Butterfly's Dream,MOVIE,2013,138,['TR'],7.8,21882.0
1120,Jeff Dunham: All Over the Map,MOVIE,2014,41,"['IL', 'NO', 'ZA', 'AE', 'GB', 'IS', 'IE']",7.1,854.0
1121,Against the Tide,SHOW,2014,44,['SG'],7.6,11.0
1122,Bride for Rent,MOVIE,2014,115,['PH'],6.4,584.0
1123,Ghanchakkar,MOVIE,2013,137,['IN'],5.8,5019.0
1125,Aziz Ansari: Buried Alive,MOVIE,2013,79,['US'],7.2,3980.0
1126,Marc Maron: Thinky Pain,MOVIE,2013,90,['US'],7.3,1876.0
1127,Naan Sigappu Manithan,MOVIE,2014,161,['IN'],6.5,1081.0
1128,Turbo FAST,SHOW,2013,19,['US'],6.5,593.0
1129,Born in Gaza,MOVIE,2014,69,['ES'],7.4,492.0
1130,Romantik Komedi 2: Bekarlığa Veda,MOVIE,2013,105,['XX'],5.1,3357.0
1131,Free to Play,MOVIE,2014,75,"['UA', 'US', 'CN', 'DE', 'SG']",7.9,13308.0
1132,"The Other One: The Long, Strange Trip of Bob Weir",MOVIE,2014,85,['US'],7.3,1649.0
1133,Inkaar,MOVIE,2013,133,['IN'],6.2,2565.0
1134,Sammy & Co,SHOW,2014,14,['US'],5.6,30.0
1135,Coming Soon,MOVIE,2014,134,['TR'],7.5,33714.0
1136,The Midas Touch,MOVIE,2013,99,['HK'],5.0,183.0
1137,Refugiado,MOVIE,2014,95,['AR'],6.4,365.0
1138,Ralphie May: Imperfectly Yours,MOVIE,2013,69,['US'],5.4,150.0
1139,Wedding Association,MOVIE,2013,106,['XX'],7.1,22186.0
1140,Heritages,MOVIE,2014,96,"['AE', 'LB']",7.3,130.0
1141,Race 2,MOVIE,2013,150,['IN'],5.3,16302.0
1142,Madras Cafe,MOVIE,2013,130,['IN'],7.7,24319.0
1143,Deliha,MOVIE,2014,107,['TR'],4.5,4315.0
1144,Confusion Na Wa,MOVIE,2013,105,['NG'],7.0,38.0
1145,Saheb Biwi Aur Gangster Returns,MOVIE,2013,142,['IN'],6.7,3978.0
1146,Ungli,MOVIE,2014,114,['IN'],5.8,3888.0
1147,Chashme Baddoor,MOVIE,2013,120,['IN'],5.4,5121.0
1148,SampleThis,MOVIE,2013,85,['US'],6.4,466.0
1149,The War Against Women,MOVIE,2013,62,"['US', 'ES']",7.3,74.0
1150,Ghadi,MOVIE,2013,100,['LB'],7.3,1128.0
1151,Eyes of a Thief,MOVIE,2014,98,['PS'],6.6,443.0
1152,October 1,MOVIE,2014,149,['NG'],6.4,424.0
1153,Mars at Sunrise,MOVIE,2014,75,['US'],7.8,43.0
1154,Satyagraha,MOVIE,2013,152,['IN'],5.9,5127.0
1155,Bhaji in Problem,MOVIE,2013,130,['IN'],7.3,1007.0
1156,Pagpag: Nine Lives,MOVIE,2013,105,['PH'],5.5,313.0
1157,Blind Intersections,MOVIE,2013,87,"['AE', 'LB']",6.7,172.0
1159,Trailer Park Boys: Live at the North Pole,MOVIE,2014,88,['CA'],6.7,1091.0
1160,Must Be... Love,MOVIE,2013,100,['PH'],6.4,522.0
1161,She's The One,MOVIE,2013,110,['PH'],6.3,205.0
1162,Trailer Park Boys - Live in F**kin' Dublin,MOVIE,2014,81,['CA'],6.2,1548.0
1163,SDU: Sex Duties Unit,MOVIE,2013,94,['HK'],5.9,479.0
1164,Theeya Velai Seiyyanum Kumaru,MOVIE,2013,125,['IN'],5.1,28.0
1165,Settai,MOVIE,2013,136,['IN'],4.5,515.0
1166,Raja Natwarlal,MOVIE,2014,141,['IN'],6.1,4280.0
1167,Chhota Bheem in the Incan Adventure,MOVIE,2013,64,['XX'],7.4,31.0
1168,Anjaan,MOVIE,2014,170,['IN'],5.3,5018.0
1169,Cold Harbour,MOVIE,2014,93,['ZA'],5.2,211.0
1170,Himmatwala,MOVIE,2013,150,['IN'],1.7,8550.0
1171,Na Bangaaru Talli,MOVIE,2014,116,['IN'],7.2,160.0
1172,What the Fish,MOVIE,2013,98,['IN'],5.2,210.0
1173,My Own Man,MOVIE,2014,82,['US'],6.4,445.0
1174,One by Two,MOVIE,2014,139,['IN'],3.9,745.0
1175,The Land of Cards,MOVIE,2013,110,['IN'],5.6,407.0
1176,Starting Over Again,MOVIE,2014,130,['PH'],8.3,15.0
1177,It Takes a Man and a Woman,MOVIE,2013,120,['PH'],6.7,362.0
1178,Chelsea Handler: Uganda Be Kidding Me Live,MOVIE,2014,71,['US'],5.8,1165.0
1179,Wyatt Cenac: Brooklyn,MOVIE,2014,67,['US'],6.3,228.0
1181,Seven Souls in the Skull Castle,MOVIE,2013,179,['JP'],7.3,47.0
1182,Boss & Me,SHOW,2014,45,['CN'],7.3,424.0
1183,D.L. Hughley: Clear,MOVIE,2014,59,['US'],6.9,249.0
1184,Giraffada,MOVIE,2014,85,"['IT', 'PS', 'FR', 'DE']",6.3,234.0
1185,Bobby Jasoos,MOVIE,2014,121,['IN'],5.5,2310.0
1186,Grandmother's Farm,MOVIE,2013,71,[],2.9,74.0
1187,Anaamika,MOVIE,2014,124,['IN'],5.5,260.0
1188,Mumbai Delhi Mumbai,MOVIE,2014,120,['IN'],5.7,354.0
1190,A Place in the Stars,MOVIE,2014,112,['NG'],6.2,19.0
1191,That Thing Called Tadhana,MOVIE,2014,110,['PH'],7.4,1050.0
1192,Gori Tere Pyaar Mein,MOVIE,2013,150,['IN'],4.9,3838.0
1194,She's Dating the Gangster,MOVIE,2014,105,['PH'],7.0,1079.0
1195,Deewana Main Deewana,MOVIE,2013,107,['IN'],2.6,374.0
1197,Two Fathers,SHOW,2013,44,['TW'],8.0,54.0
1198,Sommore: Chandelier Status,MOVIE,2013,75,['US'],6.6,95.0
1199,E-Team,MOVIE,2014,88,['US'],7.1,873.0
1201,The Royal Bengal Tiger,MOVIE,2014,107,['IN'],6.9,874.0
1202,Chhota Bheem & Krishna vs Zimbara,MOVIE,2013,64,[],8.6,13.0
1203,Gollu Aur Pappu,MOVIE,2014,112,['IN'],3.8,118.0
1204,Mystic Whispers,SHOW,2014,26,['SG'],6.9,17.0
1206,The Amazing Praybeyt Benjamin,MOVIE,2014,105,['PH'],4.0,195.0
1207,Diamonds in the Sky,MOVIE,2014,132,['IN'],7.4,10.0
1208,Chhota Bheem Neeli Pahaadi,MOVIE,2013,63,[],8.5,9.0
1209,Doctor Bello,MOVIE,2013,95,"['NG', 'US']",4.8,54.0
1210,Chhota Bheem Aur Hanuman,MOVIE,2013,67,['IN'],7.1,33.0
1211,Chhota Bheem and the ShiNobi Secret,MOVIE,2013,63,['IN'],8.6,6.0
1212,Sigaram Thodu,MOVIE,2014,147,['IN'],6.1,458.0
1213,Ojo's in d' House,SHOW,2013,24,['NG'],6.1,11.0
1214,Flower Girl,MOVIE,2013,94,['NG'],6.0,108.0
1215,Chhota Bheem Dus pe Dus,MOVIE,2014,62,['XX'],5.1,23.0
1216,Chhota Bheem the Crown of Valhalla,MOVIE,2013,64,[],8.1,14.0
1217,Better Call Saul,SHOW,2015,49,['US'],8.8,404920.0
1218,The Last Kingdom,SHOW,2015,55,['GB'],8.5,126473.0
1219,Stranger Things,SHOW,2016,52,['US'],8.7,989090.0
1220,Schitt's Creek,SHOW,2015,22,['CA'],8.5,112537.0
1221,Alone,SHOW,2015,48,['US'],8.4,4622.0
1222,Grace and Frankie,SHOW,2015,30,['US'],8.2,48435.0
1223,The Good Place,SHOW,2016,23,['US'],8.2,148562.0
1224,Ash vs Evil Dead,SHOW,2015,30,['US'],8.4,70087.0
1225,One-Punch Man,SHOW,2015,24,['JP'],8.7,148386.0
1226,Chicago Med,SHOW,2015,41,['US'],7.6,24142.0
1227,Queen of the South,SHOW,2016,42,['US'],7.9,28537.0
1228,The Crown,SHOW,2016,56,"['US', 'GB']",8.7,190878.0
1229,Call My Agent!,SHOW,2015,55,['FR'],8.3,13331.0
1230,Hunt for the Wilderpeople,MOVIE,2016,101,['NZ'],7.8,125720.0
1231,Hell or High Water,MOVIE,2016,102,['US'],7.6,224900.0
1232,Servant of the People,SHOW,2015,29,['UA'],7.3,2706.0
1233,Documentary Now!,SHOW,2015,22,['US'],8.1,6445.0
1234,It Follows,MOVIE,2015,101,['US'],6.8,233165.0
1235,Forged in Fire,SHOW,2015,42,['US'],8.3,3538.0
1236,Van Helsing,SHOW,2016,42,['US'],6.1,21852.0
1237,Food Wars! Shokugeki no Soma,SHOW,2015,24,['JP'],8.2,9651.0
1238,Lucifer,SHOW,2016,47,['US'],8.1,308291.0
1239,DC's Legends of Tomorrow,SHOW,2016,42,['US'],6.8,101178.0
1240,Raw,MOVIE,2016,98,"['BE', 'FR']",7.0,72460.0
1241,Kung Fu Panda 3,MOVIE,2016,95,"['US', 'CN']",7.1,152791.0
1242,Ouija: Origin of Evil,MOVIE,2016,99,['US'],5.3,6.0
1243,The Magicians,SHOW,2015,44,['US'],7.6,49557.0
1244,Nocturnal Animals,MOVIE,2016,115,['US'],7.5,264884.0
1245,The Gift,MOVIE,2015,108,"['AU', 'US']",7.1,151679.0
1246,The OA,SHOW,2016,55,['US'],7.9,100911.0
1247,Kim's Convenience,SHOW,2016,22,['CA'],8.3,16970.0
1248,Sense8,SHOW,2015,62,['US'],8.2,151518.0
1249,War Dogs,MOVIE,2016,114,['US'],7.1,208185.0
1250,Blackhat,MOVIE,2015,133,['US'],5.4,58192.0
1251,Crashing,SHOW,2016,30,['GB'],7.7,18546.0
1252,Norsemen,SHOW,2016,30,['NO'],7.7,18040.0
1253,The Hateful Eight,MOVIE,2015,188,['US'],7.8,570138.0
1254,Crimson Peak,MOVIE,2015,119,['US'],6.5,143899.0
1255,Bloodline,SHOW,2015,57,['US'],7.9,50028.0
1256,Slasher,SHOW,2016,46,['CA'],6.7,14071.0
1257,Tangerine,MOVIE,2015,87,['US'],7.1,31385.0
1258,Travelers,SHOW,2016,45,['CA'],8.0,54566.0
1259,Legend,MOVIE,2015,132,"['US', 'FR', 'GB']",6.9,175273.0
1260,Narcos,SHOW,2015,52,['US'],8.8,404486.0
1261,Miraculous: Tales of Ladybug & Cat Noir,SHOW,2015,22,['FR'],7.7,10102.0
1262,Designated Survivor,SHOW,2016,44,['US'],7.5,88019.0
1263,Leah Remini: Scientology and the Aftermath,SHOW,2016,46,['US'],9.0,5761.0
1264,Into the Badlands,SHOW,2015,43,['US'],7.9,45628.0
1265,iZombie,SHOW,2015,42,['US'],7.8,66488.0
1266,Wynonna Earp,SHOW,2016,43,"['US', 'CA']",7.3,22256.0
1267,"Hail, Caesar!",MOVIE,2016,106,['US'],6.3,132821.0
1268,Dark Matter,SHOW,2015,43,['CA'],7.5,41867.0
1269,Scream: The TV Series,SHOW,2015,43,['US'],7.1,40082.0
1270,Versailles,SHOW,2015,54,"['CA', 'FR']",7.9,16273.0
1271,The Edge of Seventeen,MOVIE,2016,104,['US'],7.3,120488.0
1272,60 Days In,SHOW,2016,46,['US'],7.6,2616.0
1273,Steve Jobs,MOVIE,2015,122,"['GB', 'US']",7.2,166288.0
1274,Supergirl,SHOW,2015,42,['US'],6.2,121939.0
1275,Crazy Ex-Girlfriend,SHOW,2015,42,['US'],7.8,19738.0
1276,A Silent Voice: The Movie,MOVIE,2016,130,['JP'],8.1,75132.0
1277,Medici: Masters of Florence,SHOW,2016,54,"['GB', 'IT']",7.9,18575.0
1278,PJ Masks,SHOW,2015,15,['GB'],5.4,1214.0
1279,Marcella,SHOW,2016,45,['GB'],7.4,30373.0
1280,London Has Fallen,MOVIE,2016,99,"['BG', 'GB', 'US']",5.9,155997.0
1281,Mr. Right,MOVIE,2016,95,['US'],6.3,55118.0
1282,Bordertown,SHOW,2016,59,['FI'],7.6,10371.0
1283,Fauda,SHOW,2015,40,['IL'],8.3,25239.0
1284,Chappie,MOVIE,2015,120,"['MX', 'ZA', 'US']",6.8,247192.0
1285,Christine,MOVIE,2016,115,['US'],6.9,14977.0
1286,El marginal,SHOW,2016,54,['AR'],8.2,3799.0
1287,Frontier,SHOW,2016,46,['CA'],7.1,20706.0
1288,Bāhubali: The Beginning,MOVIE,2015,159,['IN'],8.0,117333.0
1289,The Cuba Libre Story,SHOW,2015,45,['DE'],7.6,1583.0
1290,Hush,MOVIE,2016,82,['US'],6.6,123667.0
1291,ERASED,SHOW,2016,22,['JP'],8.5,42699.0
1292,Flowers,SHOW,2016,25,['GB'],8.1,5468.0
1293,The Conjuring 2,MOVIE,2016,134,['US'],7.3,260693.0
1294,Love,SHOW,2016,32,['US'],7.7,41362.0
1295,Gantz:O,MOVIE,2016,95,['JP'],7.1,14501.0
1296,Unfriended,MOVIE,2015,82,['US'],5.5,73854.0
1297,Good Witch,SHOW,2015,43,['US'],7.2,10392.0
1298,The Ranch,SHOW,2016,30,['US'],7.4,37890.0
1299,Paranoid,SHOW,2016,44,['GB'],6.7,8343.0
1300,In a Valley of Violence,MOVIE,2016,104,['US'],6.0,18452.0
1301,Wet Hot American Summer: First Day of Camp,SHOW,2015,30,['US'],7.4,23674.0
1302,Shooter,SHOW,2016,41,['US'],7.5,35547.0
1303,"Hello, My Name Is Doris",MOVIE,2015,95,['US'],6.6,20377.0
1304,Hap and Leonard,SHOW,2016,42,['US'],7.6,7577.0
1305,Glitch,SHOW,2015,52,['AU'],7.3,17240.0
1306,Occupied,SHOW,2015,45,['NO'],7.7,8839.0
1307,A Monster Calls,MOVIE,2016,108,"['ES', 'US', 'GB']",7.5,86614.0
1308,Master of None,SHOW,2015,32,['US'],8.3,72341.0
1309,Unbreakable Kimmy Schmidt,SHOW,2015,30,['US'],7.6,70242.0
1310,Under the Shadow,MOVIE,2016,84,"['GB', 'IR', 'JO', 'QA']",6.8,27125.0
1311,Secret City,SHOW,2016,50,['AU'],7.4,7831.0
1312,Loving,MOVIE,2016,123,"['GB', 'US']",7.0,34139.0
1313,Fuller House,SHOW,2016,27,['US'],6.7,27148.0
1314,Easy,SHOW,2016,30,['US'],6.9,13569.0
1315,3%,SHOW,2016,45,['BR'],7.3,25077.0
1316,Making a Murderer,SHOW,2015,62,['US'],8.6,93456.0
1317,The Danish Girl,MOVIE,2015,119,"['DE', 'GB', 'US', 'BE', 'DK']",7.1,180805.0
1318,He Never Died,MOVIE,2015,99,"['CA', 'US']",6.4,19936.0
1319,Home,MOVIE,2015,95,['US'],6.6,100705.0
1320,BUNK'D,SHOW,2015,24,['US'],5.3,3174.0
1321,Quantico,SHOW,2015,43,['US'],6.6,60305.0
1322,Before I Wake,MOVIE,2016,97,['US'],6.2,45243.0
1323,F is for Family,SHOW,2015,28,['US'],8.0,36050.0
1324,The Fundamentals of Caring,MOVIE,2016,97,['US'],7.3,70542.0
1325,Winter on Fire: Ukraine's Fight for Freedom,MOVIE,2015,98,"['UA', 'GB', 'US']",8.3,17710.0
1326,Locked Up,SHOW,2015,50,['ES'],8.2,21388.0
1327,Batman: The Killing Joke,MOVIE,2016,72,['US'],6.4,55806.0
1328,Cop Car,MOVIE,2015,86,['US'],6.3,32547.0
1329,Bastille Day,MOVIE,2016,92,"['US', 'FR', 'LU', 'GB']",6.3,42763.0
1330,Sinister 2,MOVIE,2015,97,"['GB', 'US', 'CA']",5.3,53733.0
1331,Other People,MOVIE,2016,97,['US'],6.8,11243.0
1332,Zoo,SHOW,2015,43,['US'],6.6,24479.0
1333,13th,MOVIE,2016,100,['US'],8.2,34914.0
1334,American Ultra,MOVIE,2015,96,"['US', 'CH']",6.1,89912.0
1335,Ajin,SHOW,2016,24,['JP'],7.6,6121.0
1336,Spectral,MOVIE,2016,109,['US'],6.3,58407.0
1337,Frequency,SHOW,2016,18,['US'],7.5,13625.0
1338,"Crouching Tiger, Hidden Dragon: Sword of Destiny",MOVIE,2016,103,['CN'],6.1,19275.0
1339,Wanted,SHOW,2016,45,['AU'],7.6,5693.0
1340,Aquarius,SHOW,2015,43,['US'],7.1,12112.0
1341,Roman Empire,SHOW,2016,48,['US'],7.0,7539.0
1342,Advantageous,MOVIE,2015,92,['US'],6.2,5378.0
1343,The Bye Bye Man,MOVIE,2016,96,['US'],4.3,23588.0
1344,Degrassi: Next Class,SHOW,2016,24,['CA'],6.8,3205.0
1345,Beasts of No Nation,MOVIE,2015,137,"['US', 'GH']",7.7,80129.0
1346,The Disastrous Life of Saiki K.,SHOW,2016,10,['JP'],8.4,6649.0
1347,Mobile Suit Gundam: Iron-Blooded Orphans,SHOW,2015,24,['JP'],7.9,1623.0
1348,Self/less,MOVIE,2015,116,['US'],6.5,98127.0
1349,Collateral Beauty,MOVIE,2016,97,['US'],6.7,99053.0
1350,Chef's Table,SHOW,2015,50,['US'],8.5,15176.0
1351,Trollhunters: Tales of Arcadia,SHOW,2016,22,['US'],8.4,16509.0
1352,Team Foxcatcher,MOVIE,2016,91,['US'],7.3,6496.0
1353,"What Happened, Miss Simone?",MOVIE,2015,101,['US'],7.6,13703.0
1354,March Comes in Like a Lion,SHOW,2016,25,['JP'],8.4,2586.0
1355,Circle,MOVIE,2015,87,['US'],6.0,52925.0
1356,The Forest,MOVIE,2016,95,['US'],4.8,42148.0
1357,Demonic,MOVIE,2015,83,"['GB', 'US']",5.3,14882.0
1358,The Siege of Jadotville,MOVIE,2016,108,"['IE', 'ZA']",7.2,38308.0
1359,God Eater,SHOW,2015,23,['JP'],7.0,1911.0
1360,Hyena Road,MOVIE,2015,120,['CA'],6.5,7665.0
1361,Barry,MOVIE,2016,104,['US'],5.9,7116.0
1362,Gilmore Girls: A Year in the Life,SHOW,2016,92,['US'],7.6,36359.0
1363,Into the Inferno,MOVIE,2016,104,"['CA', 'DE', 'GB']",7.2,8512.0
1364,Ip Man 3,MOVIE,2015,105,"['HK', 'CN']",7.0,54128.0
1365,Rebellion,SHOW,2016,51,"['GB', 'IE']",7.1,3658.0
1366,The Windsors,SHOW,2016,27,['GB'],7.1,2648.0
1367,Frank & Lola,MOVIE,2016,88,['US'],5.9,6029.0
1368,Hip Hop Evolution,SHOW,2016,48,['CA'],8.4,5772.0
1369,The Get Down,SHOW,2016,62,['US'],8.2,22304.0
1370,Blue Jay,MOVIE,2016,81,['US'],7.3,17033.0
1371,Bert Kreischer: The Machine,MOVIE,2016,70,['US'],7.6,1513.0
1372,ARQ,MOVIE,2016,88,['US'],6.3,38463.0
1373,Dragons: Race to the Edge,SHOW,2015,22,['US'],8.2,6161.0
1374,Ratchet & Clank,MOVIE,2016,94,"['US', 'CA']",5.5,10764.0
1375,Dangal,MOVIE,2016,161,['IN'],8.4,180247.0
1377,Pee-wee's Big Holiday,MOVIE,2016,90,['US'],6.1,7985.0
1378,Headshot,MOVIE,2016,118,['ID'],6.3,14608.0
1379,Flaked,SHOW,2016,32,['US'],7.2,11264.0
1380,A Very Secret Service,SHOW,2015,27,['FR'],7.7,3461.0
1381,Voltron: Legendary Defender,SHOW,2016,24,['US'],8.1,8706.0
1382,Transformers: Robots In Disguise,SHOW,2015,21,['US'],6.0,1048.0
1383,The Young Messiah,MOVIE,2016,120,['US'],5.6,3542.0
1384,Crazyhead,SHOW,2016,43,['GB'],7.2,4985.0
1385,Lady Dynamite,SHOW,2016,30,['US'],7.3,3655.0
1386,No Tomorrow,SHOW,2016,47,['US'],7.3,5101.0
1387,Marauders,MOVIE,2016,107,['CA'],5.5,21929.0
1388,White Girl,MOVIE,2016,88,['US'],5.7,10646.0
1389,Greenleaf,SHOW,2016,42,['US'],7.3,5158.0
1390,Grizzy & the Lemmings,SHOW,2016,7,['FR'],7.1,579.0
1391,Our Brand Is Crisis,MOVIE,2015,108,['US'],6.1,22147.0
1392,The Ridiculous 6,MOVIE,2015,119,['US'],4.8,47935.0
1393,Special Correspondents,MOVIE,2016,100,"['US', 'CA', 'GB']",5.8,23669.0
1394,Jem and the Holograms,MOVIE,2015,119,['US'],4.1,7804.0
1395,Mascots,MOVIE,2016,89,['US'],5.8,7381.0
1396,Mindhorn,MOVIE,2016,89,['GB'],6.3,12474.0
1397,The Do-Over,MOVIE,2016,108,['US'],5.7,45146.0
1398,Bo Burnham: Make Happy,MOVIE,2016,60,['US'],8.4,14356.0
1399,7 Years,MOVIE,2016,77,['ES'],6.7,4872.0
1400,Zumbo's Just Desserts,SHOW,2016,52,['AU'],6.9,2125.0
1401,The Letdown,SHOW,2016,30,['AU'],7.5,3253.0
1402,Case,SHOW,2015,46,['IS'],7.0,2688.0
1403,For the Love of Spock,MOVIE,2016,105,"['CA', 'US']",7.6,4349.0
1404,Suffragette,MOVIE,2015,106,"['FR', 'GB']",6.9,41529.0
1405,The Girl King,MOVIE,2015,106,"['SE', 'CA', 'FI', 'FR', 'DE']",5.8,4065.0
1407,Dream/Killer,MOVIE,2015,107,['US'],7.4,1938.0
1408,Sinatra: All or Nothing at All,SHOW,2015,122,['US'],8.0,2354.0
1409,Amanda Knox,MOVIE,2016,92,"['DK', 'US']",6.9,23969.0
1410,Tallulah,MOVIE,2016,111,['US'],6.7,20111.0
1411,By the Sea,MOVIE,2015,122,"['US', 'FR']",5.3,20541.0
1412,Marco Polo: One Hundred Eyes,MOVIE,2015,28,['US'],7.8,10742.0
1413,The Adventures of Puss in Boots,SHOW,2015,23,['US'],6.6,1696.0
1414,Last Chance U,SHOW,2016,55,['US'],8.4,6789.0
1415,Molang,SHOW,2015,3,['FR'],8.4,346.0
1416,Signal,SHOW,2016,71,['KR'],8.6,6338.0
1417,Between,SHOW,2015,25,['CA'],6.0,9059.0
1418,Midnight Diner: Tokyo Stories,SHOW,2016,28,['JP'],8.4,4109.0
1419,Ares,MOVIE,2016,80,['FR'],6.2,3994.0
1420,Results,MOVIE,2015,105,['US'],5.4,7073.0
1421,I Am the Pretty Thing That Lives in the House,MOVIE,2016,89,"['CA', 'US']",4.6,14491.0
1422,Reply 1988,SHOW,2015,95,['KR'],9.2,6557.0
1423,Sunny Bunnies,SHOW,2015,3,['BY'],6.6,95.0
1424,Cinderella and Four Knights,SHOW,2016,61,['KR'],7.5,3663.0
1425,Legends of the Hidden Temple,MOVIE,2016,68,['US'],5.7,896.0
1426,Simon,SHOW,2016,5,['FR'],7.0,127.0
1427,David Brent: Life on the Road,MOVIE,2016,96,['GB'],6.3,20005.0
1428,Conspiracy,SHOW,2015,43,['GB'],6.2,367.0
1429,The Sound of Your Heart,SHOW,2016,24,['KR'],8.2,1075.0
1430,Spotless,SHOW,2015,58,['FR'],7.7,3635.0
1431,Message from the King,MOVIE,2016,102,['FR'],6.4,16180.0
1432,Sebastian Maniscalco: Why Would You Do That?,MOVIE,2016,63,['US'],7.3,1063.0
1433,Club de Cuervos,SHOW,2015,44,['MX'],8.2,5514.0
1434,Little Things,SHOW,2016,25,['IN'],8.2,6461.0
1435,Care Bears and Cousins,SHOW,2015,23,['US'],6.8,82.0
1436,Sleight,MOVIE,2016,89,['US'],5.9,8644.0
1438,Middle School: The Worst Years of My Life,MOVIE,2016,92,['US'],6.0,8972.0
1439,Kuromukuro,SHOW,2016,24,['JP'],7.2,1265.0
1440,Rock the Kasbah,MOVIE,2015,100,"['MA', 'US']",5.5,11963.0
1441,Marseille,SHOW,2016,46,['FR'],6.9,5083.0
1442,Puffin Rock,SHOW,2015,11,['IE'],8.7,891.0
1443,Chef's Table: France,SHOW,2016,60,['US'],8.2,1723.0
1444,Veteran,MOVIE,2015,124,['KR'],7.0,6501.0
1445,A Very Murray Christmas,MOVIE,2015,56,['US'],5.5,15428.0
1446,The Method,SHOW,2015,51,['RU'],7.4,2784.0
1447,Skylanders Academy,SHOW,2016,23,['US'],6.7,730.0
1448,Kevin Hart: What Now?,MOVIE,2016,96,['US'],5.9,9458.0
1449,Extraction,MOVIE,2015,92,"['GB', 'US']",4.1,11180.0
1450,Tramps,MOVIE,2016,83,['US'],6.5,5460.0
1451,The Warriors Gate,MOVIE,2016,108,"['CA', 'CN', 'FR']",5.4,5057.0
1452,The Dreamseller,MOVIE,2016,96,['BR'],6.0,1438.0
1453,LEGO Marvel Super Heroes: Avengers Reassembled!,MOVIE,2015,22,['US'],6.1,843.0
1454,Incarnate,MOVIE,2016,91,['US'],5.2,12918.0
1455,Güeros,MOVIE,2015,106,['MX'],7.4,4120.0
1456,Term Life,MOVIE,2016,93,['US'],5.6,7860.0
1457,The Distinguished Citizen,MOVIE,2016,118,"['AR', 'ES']",7.5,11495.0
1458,Drishyam,MOVIE,2015,163,['IN'],8.2,79075.0
1459,Tig,MOVIE,2015,95,['US'],7.4,2649.0
1460,John Mulaney: The Comeback Kid,MOVIE,2015,62,['US'],7.9,8471.0
1462,"Can't Cope, Won't Cope",SHOW,2016,23,['IE'],7.3,880.0
1463,Rocco,MOVIE,2016,105,['FR'],5.7,3972.0
1464,Minimalism: A Documentary About the Important Things,MOVIE,2015,79,['US'],6.7,15656.0
1465,Lego Bionicle: The Journey to One,SHOW,2016,17,['US'],5.5,170.0
1466,The Mr. Peabody & Sherman Show,SHOW,2015,23,['US'],5.7,433.0
1467,Fate/Grand Order: First Order,MOVIE,2016,72,['JP'],5.7,865.0
1468,Inspector Gadget,SHOW,2015,21,"['CA', 'US']",4.5,614.0
1469,Lavender,MOVIE,2016,92,"['CA', 'US']",5.3,7005.0
1470,Heidi,SHOW,2015,27,"['DE', 'AU', 'FR']",7.2,234.0
1471,True Memoirs of an International Assassin,MOVIE,2016,98,['US'],5.9,22466.0
1472,Danger Mouse,SHOW,2015,12,['GB'],7.2,579.0
1473,The Darkness,MOVIE,2016,92,['US'],4.5,15848.0
1474,Hot Girls Wanted,MOVIE,2015,84,['US'],6.1,17447.0
1475,Haters Back Off,SHOW,2016,30,['US'],6.1,7183.0
1476,Intersection,SHOW,2016,97,['TR'],6.7,1152.0
1477,Terrace House: Boys & Girls in the City,SHOW,2015,29,['JP'],8.1,1624.0
1478,High & Low The Movie,MOVIE,2016,129,['JP'],6.6,563.0
1479,The K2,SHOW,2016,65,['KR'],7.9,5615.0
1480,Dinotrux,SHOW,2015,23,['US'],6.8,458.0
1481,"Hello, My Twenties!",SHOW,2016,63,['KR'],8.3,2127.0
1482,Dawn of the Croods,SHOW,2015,23,['US'],5.8,712.0
1484,Kong: King of the Apes,SHOW,2016,21,['US'],5.9,325.0
1485,Pandora,MOVIE,2016,136,['KR'],6.6,7304.0
1486,Ok Kanmani,MOVIE,2015,139,['IN'],7.5,5722.0
1487,Bella and the Bulldogs,SHOW,2015,23,['US'],5.0,2114.0
1488,Unnatural Selection,SHOW,2015,35,['US'],8.1,12.0
1489,The Lighthouse of the Orcas,MOVIE,2016,110,"['AR', 'ES']",6.8,3844.0
1490,Sin senos sí hay paraíso,SHOW,2016,47,['CO'],6.5,546.0
1491,Cooked,SHOW,2016,53,['US'],7.6,43.0
1492,Shaun the Sheep: The Farmer's Llamas,MOVIE,2015,30,['GB'],6.8,1364.0
